queries_K,B_obs,hit_rate_pct
0.0,16384,43.63
20.0,16384,43.63
40.0,16384,43.00
60.0,16384,42.64
80.0,16384,42.51
100.0,16384,42.78
120.0,16384,42.12
140.0,16384,42.06
160.0,16384,42.30
180.0,16384,42.44
200.0,16384,41.97
220.0,16384,42.02
240.0,16384,42.41
260.0,16384,42.28
280.0,16384,42.07
300.0,16384,42.09
320.0,16384,42.49
340.0,16384,42.11
360.0,16384,42.07
380.0,16384,42.22
400.0,16384,42.60
420.0,16384,42.08
440.0,16384,42.02
460.0,16384,42.20
480.0,16384,42.51
500.0,16384,42.00
0.0,32768,43.63
20.0,32768,43.63
40.0,32768,43.49
60.0,32768,43.16
80.0,32768,42.97
100.0,32768,42.92
120.0,32768,42.71
140.0,32768,42.57
160.0,32768,42.60
180.0,32768,42.85
200.0,32768,42.48
220.0,32768,42.52
240.0,32768,42.81
260.0,32768,42.67
280.0,32768,42.51
300.0,32768,42.66
320.0,32768,42.89
340.0,32768,42.59
360.0,32768,42.55
380.0,32768,42.90
400.0,32768,42.58
420.0,32768,42.48
440.0,32768,42.61
460.0,32768,42.72
480.0,32768,42.44
500.0,32768,42.62
0.0,65536,43.63
20.0,65536,43.63
40.0,65536,43.63
60.0,65536,43.63
80.0,65536,43.51
100.0,65536,43.25
120.0,65536,43.07
140.0,65536,43.09
160.0,65536,42.86
180.0,65536,42.90
200.0,65536,43.01
220.0,65536,42.85
240.0,65536,42.92
260.0,65536,42.99
280.0,65536,42.83
300.0,65536,42.92
320.0,65536,42.93
340.0,65536,42.88
360.0,65536,43.09
380.0,65536,42.96
400.0,65536,42.95
420.0,65536,43.14
440.0,65536,42.91
460.0,65536,42.97
480.0,65536,43.01
500.0,65536,42.85
